Company_field,Company_name,Company_scale,Company_type,Job_location,Job_name,Job_salary,Job_update,Job_url,Location,Require_degree,Require_exp,Require_lan,Require_number
"计算机服务,数据服务,计算机软件",杭州导领科技有限公司,少于50人,民营公司,杭州-西湖区,数据分析师,4-6千/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/68841524.html?s=01&t=0,西湖区文三路90号东部软件园							,本科,无工作经验,,招1人
"互联网,计算机软件",厦门美柚信息科技有限公司,150,民营公司,杭州,运营数据分析,6-8千/月,10-20发布,http://jobs.51job.com/hangzhou/90773027.html?s=01&t=0,文一西路1288号海创科技中心3号楼12楼							,本科,1年经验,,招1人
"仪器仪表,环保",杭州浅海科技有限责任公司,50,民营公司,杭州-滨江区,产品数据分析专员,4-6千/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/91816694.html?s=01&t=0,滨江区和瑞科技园							,,无工作经验,,招1人
计算机软件,杭州早稻科技有限公司,50,创业公司,杭州-余杭区,数据分析师,1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou-yhq/87199022.html?s=01&t=0,未来科技城海创园19幢401室							,,无工作经验,,招2人
"计算机软件,系统,维修",上海数聚软件系统股份有限公司,150,民营公司,杭州,数据分析师,1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou/90578482.html?s=01&t=0,西湖区							,本科,3-4年经验,,招1人
"金融,证券,电子商务",微贷（杭州）金融信息服务有限公司,10000人以上,民营公司,杭州-江干区,数据分析专员,0.6-1.2万/月,10-20发布,http://jobs.51job.com/hangzhou-jgq/94954953.html?s=01&t=0,解放东路33号财富金融中心西楼41楼							,,无工作经验,,招1人
"电子技术,集成电路",西湖电子集团有限公司,1000,国企,杭州,博士后（大数据分析与处理方向）,1.5-2万/月,10-20发布,http://jobs.51job.com/hangzhou/76746701.html?s=01&t=0,杭州市教工路一号							,博士,无工作经验,,招1人
"服装,皮革,投资",杭州萌婉服饰有限公司,500,国企,杭州,数据分析师,4-6千/月,10-20发布,http://jobs.51job.com/hangzhou/90469263.html?s=01&t=0,杭州下城区东新路928号新华创意园直走50米右拐（甘长路47号10幢）							,,无工作经验,,招若干人
"工程,咨询,财会",杭州昊翌制衣有限公司,建筑,外企代表处,杭州,数据分析师,4-6千/月,10-20发布,http://jobs.51job.com/hangzhou/90470031.html?s=01&t=0,下城区甘长路47号10幢（香影服饰）							,,无工作经验,,招若干人
"互联网,计算机硬件",杭州康帕斯科技有限公司,500,民营公司,杭州-西湖区,数据分析员,0.6-1万/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/92016393.html?s=01&t=0,杭州市西湖区文一西路花蒋路口绿城西溪国际E座310							,本科,1年经验,,招1人
"服装,皮革",杭州唯卡服饰有限公司,150,民营公司,杭州,数据分析员,4.5-6.5千/月,10-20发布,http://jobs.51job.com/hangzhou/70310578.html?s=01&t=0,杭州余杭区三鑫工业园新管氏6栋4楼							,,无工作经验,,招若干人
互联网,衣品天成,1000,民营公司,杭州-萧山区,运营库管/数据分析员,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou-xsq/88606730.html?s=01&t=0,市心北路农业大厦2号楼17层							,本科,无工作经验,,招1人
"教育,院校,科研",竞思教育,150,民营公司,杭州,数据分析/文员,4-6千/月,10-20发布,http://jobs.51job.com/hangzhou/73794082.html?s=01&t=0,杭州西湖区学院路131-3号							,大专,1年经验,,招1人
计算机软件,酷家乐,500,民营公司,杭州-拱墅区,数据分析师,1.3-2.5万/月,10-20发布,http://jobs.51job.com/hangzhou-gsq/90339849.html?s=01&t=0,余杭塘路515号矩阵国际1号楼10-13楼							,,2年经验,,招1人
"计算机软件,系统,维修",朗新科技股份有限公司,1000,合资,杭州,大数据分析师,1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou/91057997.html?s=01&t=0,杭州市文三路90号东部软件园科技大厦1层							,本科,2年经验,,招1人
"农,牧",明康汇生态农业集团有限公司,10000人以上,民营公司,杭州-余杭区,物流规划助理（数据分析）,4-4.5千/月,10-20发布,http://jobs.51job.com/hangzhou-yhq/91506253.html?s=01&t=0,仁和镇高新农业示范中心银杏路13号							,本科,1年经验,,招1人
"互联网,计算机软件",浙江阿拉丁电子商务股份有限公司,150,民营公司,杭州-滨江区,高级数据分析师,1-1.8万/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/94565034.html?s=01&t=0,江陵路2028号星耀城1号楼2302							,,3-4年经验,,招5人
"通信,增值服务,系统,维修",杭州海络信息技术有限公司,50,民营公司,杭州,数据分析工程师,4-7千/月,10-20发布,http://jobs.51job.com/hangzhou/73370123.html?s=01&t=0,杭州市滨江区滨盛路1505号银丰大厦1106室							,大专,1年经验,,招若干人
"互联网,服装,皮革",杭州估估宝电子商务有限公司,少于50人,民营公司,杭州-下城区,数据分析师,0.5-1万/月,10-20发布,http://jobs.51job.com/hangzhou-xcq/78560172.html?s=01&t=0,下城区环城北路141号永通信息广场东楼606室							,本科,1年经验,,招1人
"互联网,计算机软件",杭州点望科技有限公司,150,民营公司,杭州-西湖区,数据分析决策支持（BI）,0.5-1万/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/88432046.html?s=01&t=0,杭州市西湖区紫荆花路2号联合大厦B座3F							,,无工作经验,,招1人
"互联网,金融,证券",有贝网络科技（杭州）有限公司,50,民营公司,杭州-滨江区,数据分析实习生,2-3千/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/92982552.html?s=01&t=0,长河路越达巷79号连连空间A幢501室							,本科,无工作经验,,招1人
"金融,证券,担保,典当",杭州连诚汽车服务有限公司,150,民营公司,杭州-滨江区,数据分析师,0.6-1.2万/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/93578638.html?s=01&t=0,滨盛路1688号明豪大厦806							,本科,2年经验,,招1人
"建筑,工程,化工,地质",亚士漆（上海）有限公司,1000,上市公司,上海,数据分析经理,1-1.5万/月,10-20发布,http://jobs.51job.com/shanghai/84748057.html?s=01&t=0,青浦工业园区新涛路28号							,,无工作经验,,招1人
"服装,皮革",意尔康股份有限公司,10000人以上,民营公司,杭州,高级数据分析师,0.8-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou/92860503.html?s=01&t=0,拱墅区城西银泰							,大专,无工作经验,,招2人
互联网,浙江惠瀜网络科技有限公司,50,民营公司,杭州-萧山区,大数据分析师,1.5-2万/月,10-20发布,http://jobs.51job.com/hangzhou-xsq/93528983.html?s=01&t=0,杭州湾信息港							,本科,3-4年经验,,招1人
"房地产,建材",杭州新天地酷云商业管理有限公司,150,民营公司,杭州-下城区,数据分析师,,10-20发布,http://jobs.51job.com/hangzhou-xcq/94684767.html?s=01&t=0,下城区新北街100号，新天地商务中心							,大专,1年经验,,招1人
"互联网,汽车及零配件",杭州好好开车科技有限公司,50,民营公司,杭州-余杭区,数据分析师,1.5-2万/月,10-20发布,http://jobs.51job.com/hangzhou-yhq/86128091.html?s=01&t=0,杭州市余杭区文一西路998号未来科技城海创园							,,无工作经验,,招2人
"金融,证券,电子商务",新浪分期,500,民营公司,杭州,数据分析师（建模）,1.5-2万/月,10-20发布,http://jobs.51job.com/hangzhou/92751074.html?s=01&t=0,杭州市西湖区西斗门路3号天堂软件园A幢13F							,本科,3-4年经验,,招2人
"医疗设备,贸易",杭州原华贸易有限公司,150,民营公司,杭州,高级数据分析师,1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou/94317430.html?s=01&t=0,杭州市下城区中山北路596西湖新城青松阁6C							,本科,无工作经验,,招1人
"计算机软件,电子商务",杭州览众数据科技有限公司,50,民营公司,杭州-滨江区,数据分析师,5-9千/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/93731569.html?s=01&t=0,物联网街451号芯图大厦17F							,,无工作经验,,招若干人
互联网,浙江纽易网络技术有限公司,150,民营公司,杭州-滨江区,数据分析,4.5-8千/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/94620247.html?s=01&t=0,科技馆街1600号 银泰国际商务中心2801室							,本科,无工作经验,,招1人
新能源,时空电动汽车股份有限公司,500,民营公司,杭州-西湖区,高级运营数据分析师,1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/92699627.html?s=01&t=0,西溪路152号北山大厦11楼							,本科,3-4年经验,,招1人
"服装,皮革",杭州梦柯服饰有限公司,50,民营公司,杭州-江干区,资深AD（数据分析）,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou-jgq/63876014.html?s=01&t=0,江干区九环路48号南2幢5楼							,大专,3-4年经验,,招若干人
互联网,杭州网营科技股份有限公司,150,上市公司,杭州-西湖区,电商数据分析师,0.8-1万/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/88696346.html?s=01&t=0,西溪路628号福地创业园A幢1-2楼							,,无工作经验,,招1人
"金融,证券",杭州坤盛资产管理有限公司,50,合资,杭州,数据分析师（资产管理）,6-8千/月,10-20发布,http://jobs.51job.com/hangzhou/93297916.html?s=01&t=0,下城区白石路318号，中国杭州人力资源产业园北楼705							,本科,2年经验,,招1人
"服装,皮革",杭州朱丽燕网络科技有限公司,500,民营公司,杭州-滨江区,数据分析师,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/91358885.html?s=01&t=0,滨兴路1912号，海贝集团							,大专,2年经验,,招1人
"餐饮业,电子商务",杭州习得餐饮管理有限公司,150,民营公司,杭州-拱墅区,数据分析主管,5-8千/月,10-20发布,http://jobs.51job.com/hangzhou-gsq/93572789.html?s=01&t=0,拱墅区美好国际大厦901							,,无工作经验,,招1人
"服装,皮革",杭州碧嫚莉服饰有限公司,150,民营公司,杭州,商品专员（数据分析）,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou/92778624.html?s=01&t=0,杭州市余杭区乔司街道永玄路72号永和大厦1幢8楼							,大专,3-4年经验,,招1人
"家具,玩具,广告",杭州博乐工业设计股份有限公司,50,民营公司,杭州-上城区,数据分析员,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou-scq/51109331.html?s=01&t=0,南星街道凤凰山脚路7号小白楼博乐设计							,本科,2年经验,,招1人
"教育,院校,电子商务",杭州西线教育科技有限公司,150,合资,杭州,BI分析师助理/数据分析师助理,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou/89769803.html?s=01&t=0,下城区							,大专,无工作经验,,招若干人
"互联网,通信,增值服务",连连银通电子支付有限公司,150,民营公司,杭州-滨江区,高级数据分析师（信用建模）,0.8-1.6万/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/87204574.html?s=01&t=0,杭州市滨江区越达巷79号连连大楼A幢11楼							,,无工作经验,,招若干人
互联网,杭州卓益科技有限公司,50,民营公司,杭州-西湖区,数据分析师,0.8-1.6万/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/90664318.html?s=01&t=0,留下留和路汇峰国际D515							,,2年经验,,招1人
"互联网,服装,皮革",杭州贝嘟科技有限公司,150,民营公司,杭州,数据分析专员/数据统计专员（活动策划）,4-6千/月,10-20发布,http://jobs.51job.com/hangzhou/93866205.html?s=01&t=0,江干区下沙二号大街515号杭州智慧谷大厦电梯21楼							,大专,无工作经验,,招1人
"建筑,工程,零售",杭州东正钢管有限公司,50,民营公司,杭州-拱墅区,数据分析师,5-6万/年,10-20发布,http://jobs.51job.com/hangzhou-gsq/92702730.html?s=01&t=0,拱康路100号康华大厦15楼C座							,大专,3-4年经验,,招1人
"服装,皮革",杭州欧酷服饰有限公司,少于50人,民营公司,杭州-江干区,商品数据分析员,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou-jgq/72281438.html?s=01&t=0,解放东路29号							,,无工作经验,,招1人
"机械,重工,家电,礼品",浙江蚂蚁精密科技有限公司,50,民营公司,嘉兴,数据分析师,4-6千/月,10-20发布,http://jobs.51job.com/jiaxing/92892681.html?s=01&t=0,海宁市海宁大道8号2幢							,大专,无工作经验,,招1人
银行,浙江民泰商业银行股份有限公司,5000,民营公司,杭州,数据分析岗,15-20万/年,10-20发布,http://jobs.51job.com/hangzhou/90960059.html?s=01&t=0,临安青山湖							,,无工作经验,,招2人
互联网,观澜网络(杭州)有限公司--丁香园,500,外资,杭州,资深数据分析师,1-2万/月,10-20发布,http://jobs.51job.com/hangzhou/83993304.html?s=01&t=0,滨江区江虹路611号上峰电商产业园3号楼							,,无工作经验,,招若干人
"服装,皮革",杭州同菲服饰有限公司,150,民营公司,杭州-江干区,数据分析,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou-jgq/93729561.html?s=01&t=0,九环路9号浙江省国家大学科技园C幢3楼							,大专,无工作经验,,招1人
"服装,皮革",浙江华鼎集团有限责任公司,10000人以上,外资,杭州,数据分析专员,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou/55643934.html?s=01&t=0,江干区城星路59号东杭大厦12-15F/临平北沙东路56号华鼎工业园							,大专,无工作经验,,招1人
"通信,网络设备,电信运营",浙江元亨通信技术股份有限公司,150,民营公司,杭州-滨江区,数据分析师,1.5-2万/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/94521388.html?s=01&t=0,江虹路459号英飞特大厦1号楼B座15楼							,本科,无工作经验,,招4人
"互联网,汽车及零配件",特维轮网络科技（杭州）有限公司,1000,外资,杭州-拱墅区,数据分析师(大数据）,1.2-1.6万/月,10-20发布,http://jobs.51job.com/hangzhou-gsq/94573580.html?s=01&t=0,丰潭路508号天行国际7号楼19层、20层							,大专,无工作经验,,招3人
"互联网,专业服务,人力资源",杭州拓风信息科技有限公司,50,民营公司,杭州-西湖区,数据分析员、免费午餐+各项福利+周末双休/年底双薪,5-7千/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/88571639.html?s=01&t=0,杭州市-西湖主城区							,大专,无工作经验,,招3人
"服装,皮革,零售",个体工商户-张雪松,50,民营公司,杭州-江干区,财务/数据分析员,3-4.5千/月,10-20发布,http://jobs.51job.com/hangzhou-jgq/74184380.html?s=01&t=0,杭海路116号中纺中心							,大专,1年经验,,招1人
"机械,重工",浙江运达风电股份有限公司,500,国企,杭州,数据挖掘工程师（数据分析工程师）,1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou/75433872.html?s=01&t=0,杭州文二路391号西湖国际科技大厦A座22层							,本科,2年经验,,招3人
"服装,皮革",杭州坐标服饰有限公司,150,民营公司,杭州-江干区,商品数据分析员,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou-jgq/72622119.html?s=01&t=0,九环路48号6幢西3楼							,大专,2年经验,,招2人
"计算机软件,电子商务",虹软公司,500,外资,杭州,高级数据分析师,,10-20发布,http://jobs.51job.com/hangzhou/95037858.html?s=01&t=0,中国浙江省杭州市西斗门路3号天堂软件园A座23楼							,本科,3-4年经验,,招若干人
"互联网,教育,院校",杭州微著网络有限公司,50,民营公司,杭州-余杭区,数据分析专员（双休）,3.5-5千/月,10-18发布,http://jobs.51job.com/hangzhou-yhq/95050477.html?s=01&t=0,余杭区良睦路1288号梦想小镇7号楼201-203							,,无工作经验,,招1人
"电子技术,集成电路",杭州鸿泉数字设备有限公司,150,民营公司,杭州-西湖区,数据分析师,0.8-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/95068625.html?s=01&t=0,杭州西湖科技经济园西园六路3号2幢							,本科,2年经验,,招若干人
互联网,杭州火奴电子商务有限公司,少于50人,民营公司,杭州-西湖区,数据分析师,4-8千/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/66803022.html?s=01&t=0,杭州市西湖区文一西路857号杭州智慧产业园B401							,本科,无工作经验,,招2人
"互联网,计算机服务,数据服务",杭州城市大数据运营有限公司,50,合资,杭州-拱墅区,大数据分析,1-2.5万/月,10-20发布,http://jobs.51job.com/hangzhou-gsq/93481913.html?s=01&t=0,萍水街丰潭路380号城西银泰b座							,硕士,无工作经验,,招1人
"批发,服装,皮革",杭州优库商贸有限公司,50,民营公司,杭州,数据分析员,3-5千/月,10-20发布,http://jobs.51job.com/hangzhou/94343851.html?s=01&t=0,杭州江干区下沙经济开发区四号大街30号二楼   电话；13666656151							,大专,2年经验,,招1人
"计算机软件,系统,维修",美林数据技术股份有限公司,150,民营公司,杭州-萧山区,数据分析师,1-2万/月,10-20发布,http://jobs.51job.com/hangzhou-xsq/95074166.html?s=01&t=0,萧山科技城（传化科创大厦）A座14层							,本科,2年经验,,招2人
"金融,证券",小蜜蜂金融服务集团,1000,民营公司,杭州-滨江区,高级数据分析师,0.8-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/88303099.html?s=01&t=0,长河街道江虹路611号上峰电商产业园区							,本科,无工作经验,,招1人
"教育,院校,科研",北京培尖教育科技有限公司杭州分公司,50,创业公司,杭州-西湖区,数据分析专员,3.5-5千/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/95079033.html?s=01&t=0,振华路298号西港发展中心西区2号楼4楼							,大专,无工作经验,,招1人
"互联网,计算机软件",杭州钱塘大数据交易中心有限公司,50,合资,杭州-萧山区,数据分析专员 (职位编号：23),3-5千/月,10-20发布,http://jobs.51job.com/hangzhou-xsq/95088705.html?s=01&t=0,萧山科技城B座5层							,,无工作经验,,招3人
"计算机服务,数据服务,计算机软件",杭州中房信息科技有限公司,150,国企,杭州-下城区,数据分析师,6-8千/月,10-20发布,http://jobs.51job.com/hangzhou-xcq/83660732.html?s=01&t=0,杭州市上塘路117号							,,无工作经验,,招2人
互联网,杭州诚淘网络科技有限公司,50,民营公司,杭州-西湖区,数据分析师,0.8-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/80076888.html?s=01&t=0,塘苗路18号华星现代产业园D座401							,,无工作经验,,招1人
"金融,证券,电子商务",杭州精纳医疗投资管理有限公司,50,民营公司,杭州,数据分析师,1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou/95081135.html?s=01&t=0,余杭塘路515号矩阵国际							,本科,3-4年经验,,招1人
"互联网,服装,皮革",杭州驰派贸易有限公司,50,民营公司,杭州-滨江区,商品AD/数据分析员,4-5千/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/90526424.html?s=01&t=0,滨江区浦沿街道至仁街22号泰衡大楼2号楼506室							,,2年经验,,招1人
"专业服务,人力资源",杭州盛锋营销策划有限公司,50,民营公司,杭州-拱墅区,数据分析,5.5-8千/月,10-20发布,http://jobs.51job.com/hangzhou-gsq/70060364.html?s=01&t=0,拱墅区和睦路2号元谷创意园1号楼302室							,本科,2年经验,,招1人
互联网,杭州维时科技有限公司,150,民营公司,杭州,数据分析师,0.8-1.6万/月,10-20发布,http://jobs.51job.com/hangzhou/95080012.html?s=01&t=0,西湖区天目山路313号杭州照相机械研究所18号楼四楼							,本科,3-4年经验,,招1人
"互联网,计算机服务,数据服务",杭州西线教育科技有限公司,50,合资,杭州,BI分析师助理/数据分析师助理,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou/92290179.html?s=01&t=0,杭州							,大专,无工作经验,,招若干人
"计算机软件,电子商务",浙江零零期信息科技有限公司,150,民营公司,杭州-拱墅区,数据分析师（金融）,1-2万/月,10-20发布,http://jobs.51job.com/hangzhou-gsq/89856306.html?s=01&t=0,祥园路88号中国智慧产业园K幢6楼							,本科,2年经验,,招若干人
"家具,玩具",浙江苏泊尔家电制造有限公司,500,外资,杭州-滨江区,电商数据分析师,8-10万/年,10-20发布,http://jobs.51job.com/hangzhou-bjq/82761982.html?s=01&t=0,江晖路1772号苏泊尔大厦							,,无工作经验,,招1人
"服装,皮革",浙江佰丽源实业有限公司,500,民营公司,杭州,商品数据分析,5-7千/月,10-20发布,http://jobs.51job.com/hangzhou/61009862.html?s=01&t=0,杭州市下城区永波街158号							,大专,1年经验,,招3人
"家具,玩具",杭州老板实业集团有限公司,500,民营公司,杭州-余杭区,数据分析工程师 (职位编号：robam000855),1-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou-yhq/92024297.html?s=01&t=0,杭州经济开发区临平大道592号							,,无工作经验,,招若干人
"互联网,通信,增值服务",杭州天涯若比邻网络信息服务有限公司,150,民营公司,杭州-拱墅区,数据分析师,0.8-1万/月,10-20发布,http://jobs.51job.com/hangzhou-gsq/94788910.html?s=01&t=0,祥园路28号乐富智汇园8幢1楼							,,2年经验,,招1人
"计算机软件,电子商务",杭州晖硕信息技术有限公司,150,民营公司,杭州-拱墅区,诚招数据分析师+高福利,4.5-6千/月,10-20发布,http://jobs.51job.com/hangzhou-gsq/92142996.html?s=01&t=0,祥园路88号智慧信息产业园M座10楼							,大专,1年经验,,招2人
计算机软件,杭州卓凯科技有限公司,50,民营公司,杭州-余杭区,高级数据分析师,0.8-1.5万/月,10-20发布,http://jobs.51job.com/hangzhou-yhq/93947942.html?s=01&t=0,文一西路1288号——海创科技中心1幢16楼							,本科,无工作经验,,招1人
"计算机软件,电力",上海日出科技有限公司,150,民营公司,上海,数据分析,1-2万/月,10-20发布,http://jobs.51job.com/shanghai/93960824.html?s=01&t=0,闸北区沪太路1895弄51号诺诚1895创意园区10号楼							,,无工作经验,,招若干人
互联网,杭州玖广服饰有限公司,50,民营公司,杭州-江干区,数据分析师,5-7千/月,10-20发布,http://jobs.51job.com/hangzhou-jgq/75335278.html?s=01&t=0,下沙高科技企业孵化器2幢6楼D区601							,大专,1年经验,,招1人
"金融,证券",杭州互纳科技有限公司,少于50人,民营公司,杭州-下城区,数据分析助理,6-8千/月,10-20发布,http://jobs.51job.com/hangzhou-xcq/92939079.html?s=01&t=0,绍兴路３５１号华州创业２号楼Ａ座３０６							,本科,1年经验,,招1人
"互联网,教育,院校",杭州菲助科技有限公司,50,民营公司,杭州-滨江区,数据分析师,1.5-2.5万/月,10-20发布,http://jobs.51job.com/hangzhou-bjq/92298466.html?s=01&t=0,杭州滨江区江陵路567号新东方国际科技中心612							,本科,无工作经验,,招1人
"批发,奢侈品,工艺品",杭州埃迷丽首饰有限公司,50,民营公司,杭州-拱墅区,数据分析专员,4-5千/月,10-20发布,http://jobs.51job.com/hangzhou-gsq/94383609.html?s=01&t=0,城西银泰城							,本科,无工作经验,,招1人
计算机软件,浙江同花顺云软件有限公司,1000,上市公司,杭州-西湖区,数据分析,6-8千/月,10-20发布,http://jobs.51job.com/hangzhou-xhq/92112035.html?s=01&t=0,杭州市西湖区文二西路1号元茂大厦901							,本科,无工作经验,,招2人
